ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60608,3,01/15/2023,01/21/2023,65,20001,82,25252.2,1850,365060,2336,460905.2,0.0,0.1,0,201,0.0,253.8,79205,60608-2023-3,POINT (-87.670366 41.849879)
60608,4,01/22/2023,01/28/2023,48,20049,61,25312.8,1818,366878,2295,463200.6,0.0,0.1,0,201,0.0,253.8,79205,60608-2023-4,POINT (-87.670366 41.849879)
60827,44,10/31/2021,11/06/2021,5,483,18,1690.2,,811,0,2837.9,0.0,0.1,0,17,0.0,59.5,28577,60827-2021-44,POINT (-87.633087 41.650765)
60827,45,11/07/2021,11/13/2021,2,485,7,1697.2,,811,0,2837.9,0.0,0.1,0,17,0.0,59.5,28577,60827-2021-45,POINT (-87.633087 41.650765)
60827,46,11/14/2021,11/20/2021,9,494,32,1728.7,,811,0,2837.9,0.0,0.1,0,17,0.0,59.5,28577,60827-2021-46,POINT (-87.633087 41.650765)
60827,47,11/21/2021,11/27/2021,9,503,32,1760.2,,811,0,2837.9,0.0,0.1,0,17,0.0,59.5,28577,60827-2021-47,POINT (-87.633087 41.650765)
60827,48,11/28/2021,12/04/2021,16,519,56,1816.1,,811,0,2837.9,0.0,0.1,0,17,0.0,59.5,28577,60827-2021-48,POINT (-87.633087 41.650765)
60608,6,02/05/2023,02/11/2023,78,20191,98,25492.1,1983,370540,2504,467824,0.0,0.1,1,202,1.3,255.0,79205,60608-2023-6,POINT (-87.670366 41.849879)
60608,7,02/12/2023,02/18/2023,63,20254,80,25571.6,1904,372444,2404,470227.9,0.0,0.1,0,202,0.0,255.0,79205,60608-2023-7,POINT (-87.670366 41.849879)
60609,49,12/04/2022,12/10/2022,102,16346,166,26581,2696,300874,4384,489265.8,0.0,0.1,0,226,0.0,367.5,61495,60609-2022-49,POINT (-87.653382 41.812017)
60609,5,01/30/2022,02/05/2022,87,12940,142,21042.4,3802,179750,6183,292300.2,0.0,0.1,6,209,9.8,339.9,61495,60609-2022-5,POINT (-87.653382 41.812017)
60601,41,10/09/2022,10/15/2022,16,5217,109,35550.3,168,100210,1145,682862,0.1,0.1,0,13,0.0,88.6,14675,60601-2022-41,POINT (-87.622844 41.886262)
60604,1,01/02/2022,01/08/2022,49,282,6266,36061.4,261,10716,33376,1370332,0.2,0.0,0,0,0.0,0.0,782,60604-2022-1,POINT (-87.629029 41.878153)
60607,46,11/14/2021,11/20/2021,42,3357,142,11344.7,2272,104076,7678,351715,0.0,0.0,1,12,3.4,40.6,29591,60607-2021-46,POINT (-87.652727 41.876104)
60605,26,06/27/2021,07/03/2021,2,1979,7,7191.4,548,51177,1991,185969.7,0.0,0.0,0,12,0.0,43.6,27519,60605-2021-26,POINT (-87.623449 41.867824)
60607,47,11/21/2021,11/27/2021,38,3395,128,11473.1,1842,105918,6225,357939.9,0.0,0.0,0,12,0.0,40.6,29591,60607-2021-47,POINT (-87.652727 41.876104)
60609,22,05/24/2020,05/30/2020,136,1686,221,2741.7,867,5637,1410,9166.6,0.2,0.3,7,57,11.4,92.7,61495,60609-2020-22,POINT (-87.653382 41.812017)
60609,17,04/25/2021,05/01/2021,53,7201,86,11709.9,1476,76382,2400,124208.5,0.0,0.1,1,144,1.6,234.2,61495,60609-2021-17,POINT (-87.653382 41.812017)
60609,18,05/02/2021,05/08/2021,71,7272,116,11825.4,1448,77830,2355,126563.1,0.1,0.1,3,147,4.9,239.0,61495,60609-2021-18,POINT (-87.653382 41.812017)
60609,50,12/11/2022,12/17/2022,106,16452,172,26753.4,2864,303738,4657,493923.1,0.0,0.1,0,226,0.0,367.5,61495,60609-2022-50,POINT (-87.653382 41.812017)
60609,6,02/06/2022,02/12/2022,63,13003,102,21144.8,4871,184621,7921,300221.2,0.0,0.1,5,214,8.1,348.0,61495,60609-2022-6,POINT (-87.653382 41.812017)
60666,10,03/06/2022,03/12/2022,1,9,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2022-10,POINT (-87.896371 41.979511)
60609,7,02/13/2022,02/19/2022,29,13032,47,21192,4821,189442,7840,308060.8,0.0,0.1,1,215,1.6,349.6,61495,60609-2022-7,POINT (-87.653382 41.812017)
60609,4,01/22/2023,01/28/2023,64,16829,104,27366.5,2407,314548,3914,511501.7,0.0,0.1,1,227,1.6,369.1,61495,60609-2023-4,POINT (-87.653382 41.812017)
60609,6,02/05/2023,02/11/2023,77,16958,125,27576.2,2398,318768,3900,518364.1,0.0,0.1,0,228,0.0,370.8,61495,60609-2023-6,POINT (-87.653382 41.812017)
60609,7,02/12/2023,02/18/2023,80,17038,130,27706.3,2237,321005,3638,522001.8,0.0,0.1,0,228,0.0,370.8,61495,60609-2023-7,POINT (-87.653382 41.812017)
60609,8,02/19/2023,02/25/2023,51,17089,83,27789.3,1843,322848,2997,524998.8,0.0,0.1,0,228,0.0,370.8,61495,60609-2023-8,POINT (-87.653382 41.812017)
60609,9,02/26/2023,03/04/2023,52,17141,85,27873.8,1780,324628,2894,527893.3,0.0,0.1,1,229,1.6,372.4,61495,60609-2023-9,POINT (-87.653382 41.812017)
60610,23,05/31/2020,06/06/2020,11,258,28,661.2,376,2696,964,6909.5,0.0,0.1,1,7,2.6,17.9,39019,60610-2020-23,POINT (-87.63581 41.90455)
60610,24,06/07/2020,06/13/2020,6,264,15,676.6,437,3133,1120,8029.4,0.0,0.1,1,8,2.6,20.5,39019,60610-2020-24,POINT (-87.63581 41.90455)
60610,25,06/14/2020,06/20/2020,9,273,23,699.7,464,3597,1189,9218.6,0.0,0.1,1,9,2.6,23.1,39019,60610-2020-25,POINT (-87.63581 41.90455)
60610,26,06/21/2020,06/27/2020,28,301,72,771.4,645,4242,1653,10871.6,0.0,0.1,0,9,0.0,23.1,39019,60610-2020-26,POINT (-87.63581 41.90455)
60610,27,06/28/2020,07/04/2020,24,325,62,832.9,873,5115,2237,13109,0.0,0.1,0,9,0.0,23.1,39019,60610-2020-27,POINT (-87.63581 41.90455)
60610,40,09/27/2020,10/03/2020,40,730,102,1870.9,1201,17097,3078,43817.1,0.0,0.0,0,10,0.0,25.6,39019,60610-2020-40,POINT (-87.63581 41.90455)
60610,42,10/11/2020,10/17/2020,66,849,169,2175.9,1481,19919,3796,51049.5,0.0,0.0,0,10,0.0,25.6,39019,60610-2020-42,POINT (-87.63581 41.90455)
60610,43,10/18/2020,10/24/2020,88,937,226,2401.4,1597,21516,4093,55142.4,0.1,0.0,0,10,0.0,25.6,39019,60610-2020-43,POINT (-87.63581 41.90455)
60610,44,10/25/2020,10/31/2020,192,1129,492,2893.5,2279,23795,5841,60983.1,0.1,0.0,1,11,2.6,28.2,39019,60610-2020-44,POINT (-87.63581 41.90455)
60601,5,01/30/2022,02/05/2022,48,4028,327,27448,1324,82797,9022,564204.4,0.0,0.1,0,13,0.0,88.6,14675,60601-2022-5,POINT (-87.622844 41.886262)
60601,6,02/06/2022,02/12/2022,30,4058,204,27652.5,1313,84110,8947,573151.6,0.0,0.1,0,13,0.0,88.6,14675,60601-2022-6,POINT (-87.622844 41.886262)
60608,49,11/29/2020,12/05/2020,412,5638,520,7118.2,3052,58059,3853,73302.2,0.2,0.1,9,103,11.4,130.0,79205,60608-2020-49,POINT (-87.670366 41.849879)
60608,14,04/04/2021,04/10/2021,71,7733,90,9763.3,2367,97628,2988,123259.9,0.0,0.1,0,138,0.0,174.2,79205,60608-2021-14,POINT (-87.670366 41.849879)
60608,19,05/08/2022,05/14/2022,198,16083,250,20305.5,4685,293820,5915,370961.4,0.1,0.1,0,194,0.0,244.9,79205,60608-2022-19,POINT (-87.670366 41.849879)
60608,2,01/09/2022,01/15/2022,725,14401,915,18181.9,6254,220313,7896,278155.4,0.1,0.1,2,185,2.5,233.6,79205,60608-2022-2,POINT (-87.670366 41.849879)
60608,20,05/15/2022,05/21/2022,172,16255,217,20522.7,4809,298629,6072,377033,0.0,0.1,0,194,0.0,244.9,79205,60608-2022-20,POINT (-87.670366 41.849879)
60610,46,11/08/2020,11/14/2020,259,1634,664,4187.7,2209,28120,5661,72067.5,0.1,0.1,2,14,5.1,35.9,39019,60610-2020-46,POINT (-87.63581 41.90455)
60610,47,11/15/2020,11/21/2020,188,1822,482,4669.5,2877,30997,7373,79440.8,0.1,0.1,1,15,2.6,38.4,39019,60610-2020-47,POINT (-87.63581 41.90455)
60610,48,11/22/2020,11/28/2020,99,1921,254,4923.2,1782,32779,4567,84007.8,0.1,0.1,1,16,2.6,41.0,39019,60610-2020-48,POINT (-87.63581 41.90455)
60666,7,02/13/2022,02/19/2022,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2022-7,POINT (-87.896371 41.979511)
60707,17,04/19/2020,04/25/2020,56,129,130,299.9,181,513,421,1192.5,0.3,0.2,1,3,2.3,7.0,43019,60707-2020-17,POINT (-87.808283 41.921777)
60707,18,04/26/2020,05/02/2020,72,201,167,467.2,205,718,476,1669,0.3,0.3,1,4,2.3,9.3,43019,60707-2020-18,POINT (-87.808283 41.921777)
60707,19,05/03/2020,05/09/2020,61,262,142,609,328,1046,762,2431.5,0.2,0.2,5,9,11.6,20.9,43019,60707-2020-19,POINT (-87.808283 41.921777)
60707,20,05/10/2020,05/16/2020,41,303,95,704.3,247,1293,574,3005.6,0.2,0.2,0,9,0.0,20.9,43019,60707-2020-20,POINT (-87.808283 41.921777)
60707,21,05/17/2020,05/23/2020,38,341,88,792.7,280,1573,651,3656.5,0.2,0.2,2,11,4.6,25.6,43019,60707-2020-21,POINT (-87.808283 41.921777)
60707,22,05/24/2020,05/30/2020,15,356,35,827.5,245,1818,570,4226,0.1,0.2,1,12,2.3,27.9,43019,60707-2020-22,POINT (-87.808283 41.921777)
60707,23,05/31/2020,06/06/2020,16,372,37,864.7,178,1996,414,4639.8,0.1,0.2,0,12,0.0,27.9,43019,60707-2020-23,POINT (-87.808283 41.921777)
60707,24,06/07/2020,06/13/2020,14,386,32,897.3,204,2200,474,5114,0.1,0.2,0,12,0.0,27.9,43019,60707-2020-24,POINT (-87.808283 41.921777)
60707,25,06/14/2020,06/20/2020,7,393,16,913.5,193,2393,449,5562.7,0.1,0.2,0,12,0.0,27.9,43019,60707-2020-25,POINT (-87.808283 41.921777)
60707,26,06/21/2020,06/27/2020,9,402,21,934.5,254,2647,590,6153.1,0.1,0.2,0,12,0.0,27.9,43019,60707-2020-26,POINT (-87.808283 41.921777)
60610,49,11/29/2020,12/05/2020,134,2055,343,5266.7,1709,34488,4380,88387.7,0.1,0.1,1,17,2.6,43.6,39019,60610-2020-49,POINT (-87.63581 41.90455)
60610,50,12/06/2020,12/12/2020,117,2172,300,5566.5,1682,36170,4311,92698.4,0.1,0.1,5,22,12.8,56.4,39019,60610-2020-50,POINT (-87.63581 41.90455)
60610,51,12/13/2020,12/19/2020,80,2252,205,5771.5,2235,38405,5728,98426.4,0.0,0.1,1,23,2.6,58.9,39019,60610-2020-51,POINT (-87.63581 41.90455)
60610,52,12/20/2020,12/26/2020,78,2330,200,5971.4,1888,40293,4839,103265.1,0.0,0.1,0,23,0.0,58.9,39019,60610-2020-52,POINT (-87.63581 41.90455)
Unknown,8,02/21/2021,02/27/2021,5,675,0,0,1935,100144,0,0,0.0,0.1,0,7,0.0,0.0,0,Unknown-2021-8,
60827,23,06/05/2022,06/11/2022,14,987,49,3453.8,,812,0,2841.4,0.0,0.1,0,19,0.0,66.5,28577,60827-2022-23,POINT (-87.633087 41.650765)
60601,7,02/13/2022,02/19/2022,18,4076,123,27775.1,1206,85316,8218,581369.7,0.0,0.1,0,13,0.0,88.6,14675,60601-2022-7,POINT (-87.622844 41.886262)
60601,8,02/20/2022,02/26/2022,15,4091,102,27877.3,978,86294,6664,588034.1,0.0,0.1,0,13,0.0,88.6,14675,60601-2022-8,POINT (-87.622844 41.886262)
60601,9,02/27/2022,03/05/2022,9,4100,61,27938.7,1034,87328,7046,595080.1,0.0,0.1,0,13,0.0,88.6,14675,60601-2022-9,POINT (-87.622844 41.886262)
60608,21,05/22/2022,05/28/2022,191,16446,241,20763.8,4320,302949,5454,382487.2,0.1,0.1,0,194,0.0,244.9,79205,60608-2022-21,POINT (-87.670366 41.849879)
60608,22,05/29/2022,06/04/2022,205,16651,259,21022.7,4099,307048,5175,387662.4,0.1,0.1,1,195,1.3,246.2,79205,60608-2022-22,POINT (-87.670366 41.849879)
60608,23,06/05/2022,06/11/2022,156,16807,197,21219.6,3821,310869,4824,392486.6,0.1,0.1,0,195,0.0,246.2,79205,60608-2022-23,POINT (-87.670366 41.849879)
60609,23,05/31/2020,06/06/2020,53,1739,86,2827.9,688,6325,1119,10285.4,0.1,0.3,6,63,9.8,102.4,61495,60609-2020-23,POINT (-87.653382 41.812017)
60609,24,06/07/2020,06/13/2020,46,1785,75,2902.7,642,6967,1044,11329.4,0.1,0.3,2,65,3.3,105.7,61495,60609-2020-24,POINT (-87.653382 41.812017)
60827,31,07/26/2020,08/01/2020,1,99,4,346.4,57,765,200,2677,0.0,0.1,0,7,0.0,24.5,28577,60827-2020-31,POINT (-87.633087 41.650765)
60827,14,04/04/2021,04/10/2021,9,312,32,1091.8,,807,0,2823.9,0.0,0.1,0,13,0.0,45.5,28577,60827-2021-14,POINT (-87.633087 41.650765)
60827,24,06/13/2021,06/19/2021,1,381,4,1333.2,,807,0,2823.9,0.0,0.1,0,16,0.0,56.0,28577,60827-2021-24,POINT (-87.633087 41.650765)
60827,31,08/01/2021,08/07/2021,5,390,18,1364.7,,807,0,2823.9,0.0,0.1,0,16,0.0,56.0,28577,60827-2021-31,POINT (-87.633087 41.650765)
60827,33,08/15/2021,08/21/2021,3,397,10,1389.2,,809,0,2830.9,0.0,0.1,0,16,0.0,56.0,28577,60827-2021-33,POINT (-87.633087 41.650765)
60609,25,06/14/2020,06/20/2020,27,1812,44,2946.6,863,7830,1403,12732.7,0.1,0.2,4,69,6.5,112.2,61495,60609-2020-25,POINT (-87.653382 41.812017)
60609,27,06/28/2020,07/04/2020,44,1896,72,3083.2,887,9672,1442,15728.1,0.1,0.2,2,73,3.3,118.7,61495,60609-2020-27,POINT (-87.653382 41.812017)
